Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_CUI_CPT-9019S-SMT,1,Buzzer,C95163
"C1, C10, C11, C12, C13, C14, C16, C19, C20, C21, C23, C24, C26, C4, C8",0603,15,100n,C66501
C15,0603,1,4u7,C66501
"C17, C5",0603,2,4u7,C1705
"C18, C22",1206,2,47u,C94034
"C2, C25, C3",0603,3,10P,C1853175
"C6, C7, C9",0603,3,2u2,C1607
"D10, D11, D12, D3, D4, D5, D6, D7, D8, D9",LED_RGB_PLCC-6,10,SK6812MINIRGBW-NW-P6,C7423107
D13,D_SMF,1,SMF5V0A,C1972946
D2,0603,1,RED,C5342734
F1,0603,1,1A,C33977641
F2,0603,1,2A,C720073
L1,1210,1,2u2,C6021483
MK1,MIC_CMM-4030DT-261280-TR,1,cmm-4030dt,CMM-4030DT-261075-TR 
P1,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,USB_C_Plug_USB2.0,C2843970
Q1,SOT-23,1,AO3400A,C49195711
"R1, R14, R17, R20, R4, R8",0603,6,220,C107696
"R10, R11, R9",0603,3,22k,C114065
"R12, R13",0603,2,1K,C22548
"R15, R2, R21, R24, R25",0603,5,100K,C14675
R16,0603,1,47K,C105579
"R18, R3, R6",0603,3,330K,C114618
R19,0603,1,56K,C114630
"R5, R7",0603,2,5K1,C105580
"SW1, SW2, SW3",SW_SPST_B3U-1000P,3,B3U-1000P,C231329
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32U073KCUx,C22445363
U2,SC-74-6_1.55x2.9mm_P0.95mm,1,IP4234CZ6,C455086
U3,SOT-23-5,1,MCP6L01x-xOT,C145745
U4,DFN-12-1EP_3x3mm_P0.45mm_EP1.65x2.38mm_ThermalVias,1,STNS01,C2848343
U5,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U6,SOT-23-6,1,TLV61070ADBV,C6881375
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768K,C97603
