Designator,Mid X,Mid Y,Rotation,Layer
BZ1,14.25,24.5,90.0,top
C1,-20.27,20.38,180.0,top
C10,33.425,5.0,0.0,top
C11,-3.0,28.5,180.0,top
C12,35.925,2.275,270.0,top
C13,5.0,36.5,0.0,top
C14,0.28,58.375,180.0,top
C15,8.08,20.725,90.0,top
C16,-13.0,33.525,0.0,top
C17,5.0,38.25,0.0,top
C18,21.0,22.5,90.0,top
C19,5.0,53.525,90.0,top
C2,2.23,39.89,270.0,top
C20,22.0,31.5,270.0,top
C21,-3.5,69.5,270.0,top
C22,21.0,27.525,90.0,top
C23,-4.5,30.75,270.0,top
C24,-0.2,23.4,45.0,top
C25,0.29,65.495,0.0,top
C26,-9.92,41.58,270.0,top
C3,0.7,39.89,270.0,top
C4,-1.0,38.0,90.0,top
C5,-2.47,39.75,90.0,top
C6,8.08,23.75,270.0,top
C7,7.775,26.0,0.0,top
C8,-5.75,33.0,180.0,top
C9,7.75,27.5,0.0,top
D10,5.0,44.0,270.0,top
D11,-5.0,44.0,270.0,top
D12,-15.0,44.0,270.0,top
D13,-30.9,3.8,90.0,top
D2,-5.75,27.5,270.0,top
D3,0.0,72.5,270.0,top
D4,5.0,63.0,270.0,top
D5,-5.0,63.0,270.0,top
D6,-10.0,53.5,270.0,top
D7,0.0,53.5,270.0,top
D8,10.0,53.5,270.0,top
D9,15.0,44.0,270.0,top
F1,-16.5,28.0,0.0,top
F2,-31.05,8.35,270.0,top
L1,24.75,21.5,0.0,top
MK1,-13.0,36.725,180.0,top
P1,-22.01,26.25,270.0,top
Q1,11.25,32.0,180.0,top
R1,4.75,30.0,180.0,top
R10,-3.0,26.75,0.0,top
R11,-5.0,35.25,90.0,top
R12,7.775,29.0,180.0,top
R13,4.095,19.325,0.0,top
R14,35.925,5.5,270.0,top
R15,-8.0,30.75,270.0,top
R16,-6.25,30.75,90.0,top
R17,12.0,49.0,0.0,top
R18,20.5,31.5,90.0,top
R19,23.925,27.75,180.0,top
R2,8.5,32.0,90.0,top
R20,-18.06,44.45,270.0,top
R21,11.25,37.425,270.0,top
R24,-33.0,10.0,90.0,top
R25,33.0,10.0,90.0,top
R3,-23.77,20.38,180.0,top
R4,-4.4,22.5,180.0,top
R5,-17.95,25.7,90.0,top
R6,0.29,63.995,0.0,top
R7,-26.11,22.03,90.0,top
R8,5.02,39.92,180.0,top
R9,-5.0,37.75,0.0,top
SW1,33.0,14.0,0.0,top
SW2,-33.0,14.0,0.0,top
SW3,8.5,38.25,180.0,top
U1,0.0,33.0,0.0,top
U2,-14.25,23.75,270.0,top
U3,0.3,61.1725,90.0,top
U4,5.345,22.5,180.0,top
U5,33.425,2.275,270.0,top
U6,24.5,25.0,0.0,top
Y1,1.72,37.31,180.0,top
